Index,RecordType,FrameIndex,World,ExecutingSystem,OriginSystem,Entities,ComponentTypes,Data
0,SetComponentData,117,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.02862423285842 DeltaTime=0.0224784}}]"
1,GetBufferRW,117,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
2,SetComponentData,117,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.01666677184403 DeltaTime=0.01666667}}]"
3,GetBufferRW,117,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
4,SetComponentData,117,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.02862423285842 DeltaTime=0.0224784}}]"
5,GetBufferRW,117,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
6,SetComponentData,117,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=5.78974624723196 DeltaTime=0.0819206}}]"
7,GetBufferRW,117,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
8,SetComponentData,117,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.02862423285842 DeltaTime=0.0224784}}]"
9,GetBufferRW,118,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
10,SetComponentData,118,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.05012642964721 DeltaTime=0.0215022}}]"
11,GetBufferRW,118,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
12,SetComponentData,118,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.03333343937993 DeltaTime=0.01666667}}]"
13,GetBufferRW,118,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
14,SetComponentData,118,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.05012642964721 DeltaTime=0.0215022}}]"
15,GetBufferRW,118,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
16,SetComponentData,118,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.05000010691583 DeltaTime=0.01666667}}]"
17,GetBufferRW,118,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
18,SetComponentData,118,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.05012642964721 DeltaTime=0.0215022}}]"
19,SetComponentData,119,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.06214033253491 DeltaTime=0.0120139}}]"
20,SetComponentData,120,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.07845553196967 DeltaTime=0.0163152}}]"
21,GetBufferRW,120,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
22,SetComponentData,120,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.06666677445173 DeltaTime=0.01666667}}]"
23,GetBufferRW,120,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
24,SetComponentData,120,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.07845553196967 DeltaTime=0.0163152}}]"
25,SetComponentData,121,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.08816163334996 DeltaTime=0.009706101}}]"
26,GetBufferRW,121,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
27,SetComponentData,121,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.08333344198763 DeltaTime=0.01666667}}]"
28,GetBufferRW,121,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
29,SetComponentData,121,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.08816163334996 DeltaTime=0.009706101}}]"
30,SetComponentData,122,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.0985228298232 DeltaTime=0.0103612}}]"
31,SetComponentData,123,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.11241423431784 DeltaTime=0.0138914}}]"
32,GetBufferRW,123,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
33,SetComponentData,123,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.10000010952353 DeltaTime=0.01666667}}]"
34,GetBufferRW,123,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
35,SetComponentData,123,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.11241423431784 DeltaTime=0.0138914}}]"
36,GetBufferRW,123,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
37,SetComponentData,123,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=5.86847894638777 DeltaTime=0.0787327}}]"
38,GetBufferRW,123,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
39,SetComponentData,123,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.11241423431784 DeltaTime=0.0138914}}]"
40,SetComponentData,124,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.12511153426021 DeltaTime=0.0126973}}]"
41,GetBufferRW,124,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
42,SetComponentData,124,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.11666677705944 DeltaTime=0.01666667}}]"
43,GetBufferRW,124,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
44,SetComponentData,124,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.12511153426021 DeltaTime=0.0126973}}]"
45,SetComponentData,125,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.13690363336354 DeltaTime=0.0117921}}]"
46,GetBufferRW,125,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
47,SetComponentData,125,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.13333344459534 DeltaTime=0.01666667}}]"
48,GetBufferRW,125,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
49,SetComponentData,125,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.13690363336354 DeltaTime=0.0117921}}]"
50,SetComponentData,126,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.15081953443587 DeltaTime=0.0139159}}]"
51,GetBufferRW,126,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
52,SetComponentData,126,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.15000011213124 DeltaTime=0.01666667}}]"
53,GetBufferRW,126,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
54,SetComponentData,126,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.15081953443587 DeltaTime=0.0139159}}]"
55,SetComponentData,127,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.15991222858429 DeltaTime=0.009092694}}]"
56,SetComponentData,128,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.17105813324451 DeltaTime=0.0111459}}]"
57,GetBufferRW,128,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
58,SetComponentData,128,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.16666677966714 DeltaTime=0.01666667}}]"
59,GetBufferRW,128,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
60,SetComponentData,128,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.17105813324451 DeltaTime=0.0111459}}]"
61,SetComponentData,129,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.18396212998778 DeltaTime=0.012904}}]"
62,GetBufferRW,129,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
63,SetComponentData,129,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.18333344720304 DeltaTime=0.01666667}}]"
64,GetBufferRW,129,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
65,SetComponentData,129,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.18396212998778 DeltaTime=0.012904}}]"
66,GetBufferRW,129,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
67,SetComponentData,129,"Default World",Unity.Entities.VariableRateSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=5.93991664797068 DeltaTime=0.0714377}}]"
68,GetBufferRW,129,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
69,SetComponentData,129,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.18396212998778 DeltaTime=0.012904}}]"
70,SetComponentData,130,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.19404853135347 DeltaTime=0.0100864}}]"
71,GetBufferRW,131,"Default World",,,"Scene (Live converted): New Sub Scene (42:1)",Unity.Scenes.ResolvedSectionEntity,
72,SetComponentData,131,"Default World",Unity.Entities.UpdateWorldTimeSystem,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.20786873437464 DeltaTime=0.0138202}}]"
73,GetBufferRW,131,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
74,SetComponentData,131,"Default World",Unity.Entities.FixedStepSimulationSystemGroup,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.20000011473894 DeltaTime=0.01666667}}]"
75,GetBufferRW,131,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTimeQueue,
76,SetComponentData,131,"Default World",,,"WorldTime (43:1)",Unity.Entities.WorldTime,"[{Time={ElapsedTime=2.20786873437464 DeltaTime=0.0138202}}]"
